Year,OccupationalCategory,Men,Women,Percentage
2016,Other education training and library workers,57321,50771,90.9
2016,Arts Design Entertainment Sports and Media Occupations:,54084,46698,89.5
2016,Artists and related workers,51814,40191,68.2
2016,Designers,55533,42444,79.5
2016,Actors,46615,38251,0
2016,Producers and directors,64642,61825,106.2
2016,Athletes coaches umpires and related workers,46140,38242,78.7
2016,Dancers and choreographers,36905,27268,0
2016,Musicians singers and related workers,42472,45683,98.4
2016,Entertainers and performers sports and related workers all other,40847,34944,0
2016,Announcers,45065,46654,0
2016,News analysts reporters and correspondents,57304,50461,83.4
2016,Public relations specialists,76940,60011,76.3
2016,Editors,57804,51764,92.8
2016,Technical writers,69872,64769,81.4
2016,Writers and authors,62207,52479,85.1
2016,Miscellaneous media and communication workers,47478,36853,87.3
2016,Miscellaneous media and communications equipment workers including broadcast and sound engineering technicians and radio operators,52122,45207,0
2016,Photographers,40650,35015,68.4
2016,Television video and motion picture camera operators and editors,51223,37703,0
2016,Healthcare Practitioners and Technical Occupations:,77993,56151,70.3
2016,Chiropractors,72458,60296,83.1
2016,Dentists,151764,121953,67.8
2016,Dietitians and nutritionists,46015,48645,97.4
2016,Optometrists,120535,91378,79.8
2016,Pharmacists,120410,112232,92.6
2016,Physicians and surgeons,211526,150053,69.1
2016,Physician assistants,102354,91296,81.5
2016,Podiatrists,135579,99821,0
2016,Audiologists,71475,73235,0
2016,Occupational therapists,75237,66990,88.7
2016,Physical therapists,80327,71083,87.7
2016,Radiation therapists,85545,72210,0
2016,Recreational therapists,51778,42049,0
2016,Respiratory therapists,60952,52433,85.5
2016,Speech-language pathologists,71703,61827,0
2016,Miscellaneous therapists including exercise physiologists,50453,45564,91.5
2016,Veterinarians,100638,80243,83.5
2016,Registered nurses,67965,61961,91.1
2016,Nurse anesthetists,162997,142372,94.2
2016,Nurse midwives,0,96465,0
2016,Nurse practitioners,100765,92421,86
2016,Health diagnosing and treating practitioners all other,52089,42772,0
2016,Clinical laboratory technologists and technicians,50251,45086,95.1
2016,Dental hygienists,90873,56113,0
2016,Diagnostic related technologists and technicians,61101,52395,87.2
2016,Emergency medical technicians and paramedics,45812,36003,84.8
2016,Health practitioner support technologists and technicians,43170,31930,87.8
2016,Licensed practical and licensed vocational nurses,39777,36863,93.2
2016,Medical records and health information technicians,37349,35578,84.2
2016,Opticians dispensing,45916,34290,76.6
2016,Miscellaneous health technologists and technicians,46835,37369,82.1
2016,Other healthcare practitioners and technical occupations,55296,47198,78
2016,Service Occupations:,31132,23433,75.4
2016,Healthcare Support Occupations:,30526,26894,86.7
2016,Nursing psychiatric and home health aides,27354,25353,83.4
2016,Occupational therapy assistants and aides,48175,46725,0
2016,Physical therapist assistants and aides,47565,44280,88.7
2016,Massage therapists,30553,28603,99.9
2016,Dental assistants,38150,30934,0
2016,Medical assistants,32055,28834,95.9
2016,Medical transcriptionists,36889,31436,0
2016,Pharmacy aides,35713,29246,0
2016,Veterinary assistants and laboratory animal caretakers,31865,25464,0
2016,Phlebotomists,32364,30164,88.2
2016,Healthcare support workers all other including medical equipment preparers,33008,26809,82.3
2016,Protective Service Occupations:,51369,40422,79.7
2016,First-line supervisors of correctional officers,52747,47980,80.8
2016,First-line supervisors of police and detectives,79451,59909,86.3
2016,First-line supervisors of fire fighting and prevention workers,85472,70432,0
2016,First-line supervisors of protective service workers all other,51016,49734,89.5
2016,Firefighters,65166,55953,92
2016,Fire inspectors,56968,48737,0
2016,Bailiffs correctional officers and jailers,46662,38324,81.5
2016,Detectives and criminal investigators,80236,60317,79.2
2016,Fish and game wardens,49161,58450,0
2016,Parking enforcement workers,40887,35148,0
2016,Police and sheriff's patrol officers,61068,52937,91.6
2016,Transit and railroad police,61917,47964,0
2016,Animal control workers,34706,30741,0
2016,Private detectives and investigators,57338,45554,80.5
2016,Security guards and gaming surveillance officers,30625,29526,97.8
2016,Crossing guards,30186,36788,0
2016,Transportation security screeners,41780,38436,102.5
2016,Lifeguards and other recreational and all other protective service workers,33579,24645,87.1
2016,Food Preparation and Serving Related Occupations:,22709,20202,89.2
2016,Chefs and head cooks,31333,27334,82.9
2016,First-line supervisors of food preparation and serving workers,27882,21967,82
2016,Cooks,21436,18708,88.2
2016,Food preparation workers,20107,18110,92.5
2016,Bartenders,30599,24184,83.1
2016,Combined food preparation and serving workers including fast food,19509,19204,95.9
2016,Counter attendants cafeteria food concession and coffee shop,18258,16890,82.6
2016,Waiters and waitresses,23875,20133,82
2016,Food servers nonrestaurant,27673,21543,96
2016,Dining room and cafeteria attendants and bartender helpers,20922,18970,86.7
2016,Dishwashers,17900,17295,100.2
2016,Hosts and hostesses restaurant lounge and coffee shop,25206,17163,0
2016,Food preparation and serving related workers all other,17877,18413,0
2016,Building and Grounds Cleaning and Maintenance Occupations:,28153,20931,74.8
2016,First-line supervisors of housekeeping and janitorial workers,41271,27272,65.2
2016,First-line supervisors of landscaping lawn service and groundskeeping workers,40374,30951,0
2016,Janitors and building cleaners,29635,21904,72.7
2016,Maids and housekeeping cleaners,25146,19764,81
2016,Pest control workers,35499,36296,0
2016,Grounds maintenance workers,24616,22929,93
2016,Personal Care and Service Occupations:,29685,22201,73.8
2016,First-line supervisors of gaming workers,45984,40514,80.9
2016,First-line supervisors of personal service workers,36619,31367,77.2
2016,Animal trainers,35604,25656,89.1
2016,Nonfarm animal caretakers,26048,22859,97.5
2016,Gaming services workers,40433,36969,93.5
2016,Motion picture projectionists,30565,0,0
2016,Ushers lobby attendants and ticket takers,26850,23288,0
2016,Miscellaneous entertainment attendants and related workers,26824,23395,93.2
2016,Embalmers and funeral attendants,35674,25977,0
2016,Morticians undertakers and funeral directors,51651,39199,60.7
2016,Barbers,26015,22291,82.9
2016,Hairdressers hairstylists and cosmetologists,31715,23714,76.7
2016,Miscellaneous personal appearance workers,21809,21506,98.1
2016,Baggage porters bellhops and concierges,31464,28102,96.1
2016,Tour and travel guides,26595,30540,0
2016,Childcare workers,24602,20452,91.3
2016,Personal care aides,24091,21459,88.9
2016,Recreation and fitness workers,35635,27867,79.1
2016,Residential advisors,27532,27761,91.7
2016,Personal care and service workers all other ,26138,24444,82
2016,Sales and Office Occupations:,45041,33527,73.9
2016,Sales and Related Occupations:,50567,32122,63.2
2016,First-line supervisors of retail sales workers,44447,32093,71.1
2016,First-line supervisors of non-retail sales workers,62257,55013,87.4
2016,Cashiers,21696,19688,88.7
2016,Counter and rental clerks,36039,23941,99.1
2016,Parts salespersons,36195,26989,80.2
2016,Retail salespersons,36903,26051,70.4
2016,Advertising sales agents,60973,50664,75
2016,Insurance sales agents,61939,40861,66.9
2016,Securities commodities and financial services sales agents,100017,57024,54.7
2016,Travel agents,42195,37187,90.9
2016,Sales representatives services all other,66103,50916,74.5
2016,Sales representatives wholesale and manufacturing,65198,52549,81.4
2016,Models demonstrators and product promoters,36869,39774,0
2016,Real estate brokers and sales agents,62132,46221,69.6
2016,Sales engineers,98568,80547,0
2016,Telemarketers,27405,22793,95.5
2016,Door-to-door sales workers news and street vendors and related workers,29807,24704,79.1
2016,Sales and related workers all other,60938,44199,73.6
2016,Office and Administrative Support Occupations:,38667,34069,86.9
2016,First-line supervisors of office and administrative support workers,52192,44181,78.4
2016,Switchboard operators including answering service,27978,26883,0
2016,Telephone operators,35392,29157,86
2016,Communications equipment operators all other,52307,34015,0
2016,Bill and account collectors,35614,32404,87.6
2016,Billing and posting clerks ,38530,32379,86.4
2016,Bookkeeping accounting and auditing clerks,41368,36891,87.7
2016,Gaming cage workers,34971,26384,0
2016,Payroll and timekeeping clerks,41891,39584,93
2016,Procurement clerks,59765,43055,69.8
2016,Tellers,26341,25808,98.7
2016,Financial clerks all other,66189,40423,62.2
2016,Brokerage clerks,54420,42373,0
2016,Correspondence clerks,35075,36071,0
2016,Court municipal and license clerks,41381,35895,84.3
2016,Credit authorizers checkers and clerks,46838,36218,68.9
2016,Customer service representatives,36341,31531,87.7
2016,Eligibility interviewers government programs,47051,40508,79.5
2016,File clerks,36499,31482,89.8
2016,Hotel motel and resort desk clerks,22119,21218,97
2016,Interviewers except eligibility and loan,36282,31690,85.8
2016,Library assistants clerical,33851,30195,90.5
2016,Loan interviewers and clerks,44236,41251,93
2016,New accounts clerks,40891,35459,0
2016,Order clerks,32151,31320,92.5
2016,Human resources assistants except payroll and timekeeping,41918,37139,89
2016,Receptionists and information clerks,30650,26976,92.4
2016,Reservation and transportation ticket agents and travel clerks,41676,35527,86.7
2016,Information and record clerks all other,40504,35578,87.4
2016,Cargo and freight agents,41102,40026,0
2016,Couriers and messengers,40454,35553,76.6
2016,Dispatchers,42178,34728,82.4
2016,Meter readers utilities,36727,38729,0
2016,Postal service clerks,55978,52953,97.1
2016,Postal service mail carriers,57131,52261,91.3
2016,Postal service mail sorters processors and processing machine operators,55844,52804,95.9
2016,Production planning and expediting clerks,54623,38292,66
2016,Shipping receiving and traffic clerks,31211,29372,89
2016,Stock clerks and order fillers,27108,25745,94.3
2016,Weighers measurers checkers and samplers recordkeeping,39691,31033,74.6
2016,Secretaries and administrative assistants,41073,36004,87.9
2016,Computer operators,50004,35821,76.2
2016,Data entry keyers,35479,30850,87.9
2016,Word processors and typists,35117,33695,88.7
2016,Desktop publishers,50962,47443,0
2016,Insurance claims and policy processing clerks,39019,35733,88.3
2016,Mail clerks and mail machine operators except postal service,31673,26519,93.6
2016,Office clerks general,37853,32053,88.4
2016,Office machine operators except computer,35214,30327,88.4
2016,Proofreaders and copy markers,36679,36101,0
2016,Statistical assistants,60366,41460,86.9
2016,Office and administrative support workers all other,42369,37669,82.5
2016,Natural Resources Construction and Maintenance Occupations:,40818,30881,74.6
2016,Farming Fishing and Forestry Occupations:,26500,18915,72.3
2016,First-line supervisors of farming fishing and forestry workers,40935,27206,0
2016,Agricultural inspectors,47665,58503,0
2016,Animal breeders,31537,32098,0
2016,Graders and sorters agricultural products,25403,18205,77
2016,Miscellaneous agricultural workers ,25119,17718,72
2016,Fishing and hunting workers,32300,21692,0
2016,Forest and conservation workers,31899,36898,0
2016,Logging workers,31725,40922,0
2016,Construction and Extraction Occupations:,40133,32481,82.9
2016,First-line supervisors of construction trades and extraction workers,57943,56697,78.1
2016,Boilermakers,54633,61484,0
2016,Brickmasons blockmasons and stonemasons,32934,37068,0
2016,Carpenters,35074,26575,77
2016,Carpet floor and tile installers and finishers,31799,18773,0
2016,Cement masons concrete finishers and terrazzo workers,32050,50698,0
2016,Construction laborers,31434,29338,89.9
2016,Paving surfacing and tamping equipment operators,38721,0,0
2016,Operating engineers and other construction equipment operators including pile-driver operators,45089,42351,0
2016,Drywall installers ceiling tile installers and tapers,29403,25106,0
2016,Electricians,50079,36276,82.6
2016,Glaziers,37167,27803,0
2016,Insulation workers,37390,35809,0
2016,Painters construction and maintenance,30488,25519,87.8
2016,Paperhangers,37280,0,0
2016,Pipelayers plumbers pipefitters and steamfitters,43979,35301,0
2016,Plasterers and stucco masons,30904,52162,0
2016,Reinforcing iron and rebar workers,35280,37461,0
2016,Roofers,29658,27010,0
2016,Sheet metal workers,40393,34294,0
2016,Structural iron and steel workers,45896,19964,0
2016,Helpers construction trades,26857,23064,0
2016,Construction and building inspectors,52679,42189,86.1
2016,Elevator installers and repairers,88919,0,0
2016,Fence erectors,30223,0,0
2016,Hazardous materials removal workers,45173,30026,0
2016,Highway maintenance workers,38457,32204,0
2016,Rail-track laying and maintenance equipment operators,50119,23911,0
2016,Septic tank servicers and sewer pipe cleaners,40902,60023,0
2016,Miscellaneous construction and related workers including solar photovoltaic installers,40093,43816,0
2016,Derrick rotary drill and service unit operators oil gas and mining,66299,100584,0
2016,Earth drillers except oil and gas,53248,0,0
2016,Explosives workers ordnance handling experts and blasters,57128,52200,0
2016,Mining machine operators,61769,66211,0
2016,Roof bolters mining,75895,0,0
2016,Roustabouts oil and gas,41892,0,0
2016,Helpers--extraction workers,36244,0,0
2016,Other extraction workers,55072,54298,0
2016,Installation Maintenance and Repair Occupations:,44462,41195,92.2
2016,First-line supervisors of mechanics installers and repairers,56361,51749,92.7
2016,Computer automated teller and office machine repairers,42490,42400,91.8
2016,Radio and telecommunications equipment installers and repairers,55556,50223,87.1
2016,Avionics technicians,56030,61741,0
2016,Electric motor power tool and related repairers,49388,46989,0
2016,Electrical and electronics installers and repairers transportation equipment,55676,0,0
2016,Electrical and electronics repairers industrial and utility,70833,31137,0
2016,Electronic equipment installers and repairers motor vehicles,41694,53434,0
2016,Electronic home entertainment equipment installers and repairers,40923,23605,0
2016,Security and fire alarm systems installers,44955,33279,0
2016,Aircraft mechanics and service technicians,60472,33862,80.2
2016,Automotive body and related repairers,38474,25700,0
2016,Automotive glass installers and repairers,35783,51858,0
2016,Automotive service technicians and mechanics,35825,31006,88.9
2016,Bus and truck mechanics and diesel engine specialists,44692,48217,0
2016,Heavy vehicle and mobile equipment service technicians and mechanics,50229,51960,0
2016,Small engine mechanics,33801,26549,0
2016,Miscellaneous vehicle and mobile equipment mechanics installers and repairers,26462,42000,0
2016,Control and valve installers and repairers,52488,55819,0
2016,Heating air conditioning and refrigeration mechanics and installers,43049,42083,0
2016,Home appliance repairers,36247,11080,0
2016,Industrial and refractory machinery mechanics,50212,33924,81.5
2016,Maintenance and repair workers general,42378,40901,86.8
2016,Maintenance workers machinery,46518,34629,0
2016,Millwrights,60063,26845,0
2016,Electrical power-line installers and repairers,70544,80980,0
2016,Telecommunications line installers and repairers,50306,50778,0
2016,Precision instrument and equipment repairers,50694,37416,0
2016,Coin vending and amusement machine servicers and repairers,35511,30804,0
2016,Commercial divers,32088,0,0
2016,Locksmiths and safe repairers,41324,36616,0
2016,Manufactured building and mobile home installers,28094,27672,0
2016,Riggers,40729,0,0
2016,Signal and track switch repairers,76354,0,0
2016,Helpers--installation maintenance and repair workers ,27592,40141,0
2016,Other installation maintenance and repair workers including wind turbine service technicians,39292,33874,78.2
2016,Production Transportation and Material Moving Occupations:,38149,26481,70.5
2016,Production Occupations:,40113,26561,67.8
2016,First-line supervisors of production and operating workers,54300,40885,74.9
2016,Aircraft structure surfaces rigging and systems assemblers,50719,30327,0
2016,Electrical electronics and electromechanical assemblers,32037,26225,87.7
2016,Engine and other machine assemblers,45531,33914,0
2016,Structural metal fabricators and fitters,41450,38768,0
2016,Miscellaneous assemblers and fabricators,32369,26764,84
2016,Bakers,26599,21937,84.4
2016,Butchers and other meat poultry and fish processing workers,30576,23376,78
2016,Food and tobacco roasting baking and drying machine operators and tenders,40384,21941,0
2016,Food batchmakers,31660,24710,76.3
2016,Food cooking machine operators and tenders,28892,30404,0
2016,Food processing workers all other,31163,27164,86.3
2016,Computer control programmers and operators,45314,36908,0
2016,Extruding and drawing machine setters operators and tenders metal and plastic,37160,30716,0
2016,Forging machine setters operators and tenders metal and plastic,40276,36667,0
2016,Rolling machine setters operators and tenders metal and plastic,41082,34784,0
2016,Cutting punching and press machine setters operators and tenders metal and plastic,33704,26228,82.4
2016,Drilling and boring machine tool setters operators and tenders metal and plastic ,40449,25875,0
2016,Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,35366,31274,0
2016,Lathe and turning machine tool setters operators and tenders metal and plastic,41808,30361,0
2016,Milling and planing machine setters operators and tenders metal and plastic,27220,21667,0
2016,Machinists,45703,36037,70
2016,Metal furnace operators tenders pourers and casters,42324,24758,0
2016,Model makers and patternmakers metal and plastic,56152,42316,0
2016,Molders and molding machine setters operators and tenders metal and plastic,36575,30828,78.4
2016,Multiple machine tool setters operators and tenders metal and plastic ,40971,35596,0
2016,Tool and die makers,53158,40671,0
2016,Welding soldering and brazing workers,40048,30576,68.5
2016,Heat treating equipment setters operators and tenders metal and plastic,39286,47461,0
2016,Layout workers metal and plastic,42056,7447,0
2016,Plating and coating machine setters operators and tenders metal and plastic,33717,23317,0
2016,Tool grinders filers and sharpeners,40120,11921,0
2016,Metal workers and plastic workers all other,36084,26883,75.9
2016,Prepress technicians and workers,38750,30751,74
2016,Printing workers except prepress technicians and workers,38735,27047,72.3
2016,Laundry and dry-cleaning workers,25658,20175,77.6
2016,Pressers textile garment and related materials,26958,18203,74
2016,Sewing machine operators,22705,20553,89.4
2016,Shoe and leather workers and repairers,23836,16783,0
2016,Shoe machine operators and tenders,27860,26618,0
2016,Tailors dressmakers and sewers,31520,24129,79.2
2016,Textile bleaching and dyeing machine operators and tenders,25951,22306,0
2016,Textile cutting machine setters operators and tenders,28294,16828,0
2016,Textile knitting and weaving machine setters operators and tenders,32454,30236,0
2016,Textile winding twisting and drawing out machine setters operators and tenders,27544,24357,0
2016,Fabric and apparel patternmakers,54917,51546,0
2016,Upholsterers,30614,25055,0
2016,Miscellaneous textile apparel and furnishings workers including extruding and forming machine setters operators and tenders synthetic and glass fibers,27507,26217,0
2016,Cabinetmakers and bench carpenters,31498,27234,0
2016,Furniture finishers,30625,24344,0
2016,Sawing machine setters operators and tenders wood,27425,25624,0
2016,Woodworking machine setters operators and tenders except sawing,28391,21618,0
2016,Miscellaneous woodworkers including model makers and patternmakers,32850,21865,0
2016,Power plant operators distributors and dispatchers,80741,75684,0
2016,Stationary engineers and boiler operators,56873,40792,0
2016,Water and wastewater treatment plant and system operators,46712,41310,0
2016,Miscellaneous plant and system operators,65610,46611,0
2016,Chemical processing machine setters operators and tenders,52007,36241,0
2016,Crushing grinding polishing mixing and blending workers,37868,29334,84.9
2016,Cutting workers,30782,21981,69.2
2016,Extruding forming pressing and compacting machine setters operators and tenders,36816,28433,0
2016,Furnace kiln oven drier and kettle operators and tenders,46117,49728,0
2016,Inspectors testers sorters samplers and weighers,46622,30672,71.3
2016,Jewelers and precious stone and metal workers,38194,21932,67.6
2016,Medical dental and ophthalmic laboratory technicians,40940,34086,82.2
2016,Packaging and filling machine operators and tenders,28310,22746,80
2016,Painting workers,37361,27478,83.9
2016,Photographic process workers and processing machine operators,38140,22254,66.9
2016,Semiconductor processors,36624,35526,0
2016,Adhesive bonding machine operators and tenders,41820,21858,0
2016,Cleaning washing and metal pickling equipment operators and tenders,35086,25778,0
2016,Cooling and freezing equipment operators and tenders,45723,0,0
2016,Etchers and engravers,35976,26367,0
2016,Molders shapers and casters except metal and plastic,34116,22129,0
2016,Paper goods machine setters operators and tenders,49539,21531,0
2016,Tire builders,50906,48971,0
2016,Helpers--production workers,30078,22101,0
2016,Production workers all other,35949,26504,73.1
2016,Transportation Occupations:,41394,31001,73.5
2016,Supervisors of transportation and material moving workers,52151,39700,79.7
2016,Aircraft pilots and flight engineers,100263,64765,0
2016,Air traffic controllers and airfield operations specialists,90321,81404,0
2016,Flight attendants,53200,42237,79.8
2016,Ambulance drivers and attendants except emergency medical technicians,27537,20670,0
2016,Bus drivers,36535,27795,72.3
2016,Driver/sales workers and truck drivers,41201,30173,67.7
2016,Taxi drivers and chauffeurs,28081,23131,80.4
2016,Motor vehicle operators all other,26820,25587,0
2016,Locomotive engineers and operators,78583,61334,0
2016,Railroad brake signal and switch operators,57310,0,0
2016,Railroad conductors and yardmasters,66317,47697,0
2016,Subway streetcar and other rail transportation workers,61943,52345,0
2016,Sailors and marine oilers,43583,45610,0
2016,Ship and boat captains and operators,60870,21157,0
2016,Ship engineers,100129,23896,0
2016,Bridge and lock tenders,58365,30232,0
2016,Parking lot attendants,25416,20614,0
2016,Automotive and watercraft service attendants   ,22045,20550,90.3
2016,Transportation inspectors,60550,40845,0
2016,Transportation attendants except flight attendants,41391,26631,0
2016,Other transportation workers ,36573,43882,0
2016,Material Moving Occupations:,30982,23841,77
2016,Conveyor operators and tenders,38779,36176,0
2016,Crane and tower operators,51748,51867,0
2016,Dredge excavating and loading machine operators,45190,51364,0
2016,Hoist and winch operators,37671,65856,0
2016,Industrial truck and tractor operators,31580,31558,99.9
2016,Cleaners of vehicles and equipment,25047,21828,105
2016,Laborers and freight stock and material movers hand,30949,25457,81.7
2016,Machine feeders and offbearers,28868,23022,72.3
2016,Packers and packagers hand,24295,21153,91.9
2016,Pumping station operators,60028,60208,0
2016,Refuse and recyclable material collectors,30512,32203,0
2016,Mine shuttle car operators,51595,0,0
2016,Tank car truck and ship loaders,33566,19329,0
2016,Material moving workers all other,36930,31958,0